time,cpu-clock,context-switches,cpu-migrations,page-faults,user,nice,system,idle,iowait,irq,softirq,steal
1522213388.1,16783.5,1272,5,223,564510,455,38130,113418329,19663,0,318,62829
1522213389.3,16333.5,1265,9,203,566014,455,38132,113418329,19663,0,318,62900
1522213390.8,16161.2,1182,1,203,567765,455,38140,113418329,19663,0,318,63134
1522213392.1,16239.7,1206,1,203,569272,455,38142,113418329,19663,0,318,63279
1522213393.5,16349.8,1527,6,273,570871,455,38158,113418329,19663,0,318,63602
1522213394.9,16149.6,1618,10,79,572259,455,38165,113418329,19676,0,318,63919
1522213396.7,16290.3,1455,5,288,574148,455,38194,113418329,19676,0,318,64352
1522213398.4,16207.8,997,8,19,575857,455,38222,113418329,19676,0,319,64787
1522213399.8,16255.5,1042,8,10,577379,455,38238,113418329,19676,0,319,65071
1522213401.0,16253.5,1188,5,210,578850,455,38240,113418329,19676,0,319,65185
1522213402.5,16124.6,1118,3,225,580466,455,38247,113418329,19676,0,319,65459
1522213403.8,16354.1,1101,0,64,581924,455,38252,113418329,19676,0,319,65766
1522213405.4,16921.2,1291,9,105,583768,455,38261,113418329,19676,0,319,66032
1522213406.8,16217.4,1198,6,196,585404,455,38269,113418329,19676,0,319,66215
1522213408.2,16184.7,1277,4,10,587108,455,38282,113418329,19676,0,319,66445
1522213409.7,16664.0,1606,6,10,588740,455,38305,113418329,19676,0,320,66729
1522213410.9,16174.4,1325,6,10,590076,455,38334,113418329,19676,0,320,66981
1522213412.2,16157.7,13724,10,202,591586,455,38357,113418330,19676,0,320,67223
1522213413.6,16305.3,1044340,220,28,592927,455,38477,113418504,19676,0,320,67603
1522213414.7,16028.2,2860316,411,29,593408,455,38646,113419155,19676,0,320,68100
1522213415.9,16048.4,3518196,309,10,593779,455,38806,113419795,19676,0,320,68608
1522213416.9,16358.8,3228497,520,32245,594112,455,38962,113420574,19676,0,320,69027
1522213418.0,16032.2,2467,449,87034,594130,455,39050,113422117,19676,0,320,69029
1522213419.0,16022.1,19128,567,16439,594262,455,39123,113423543,19676,0,320,69035
1522213420.1,16027.2,41965,2996,20240,594435,455,39218,113424838,19676,0,320,69100
1522213421.1,16018.2,47418,2495,20752,594585,455,39322,113426135,19676,0,320,69170
1522213422.2,16037.3,63422,331,25879,594769,455,39372,113427435,19676,0,320,69215
1522213423.2,16090.2,66078,100,22980,594967,455,39402,113428674,19676,0,320,69264
1522213424.2,16054.9,67766,33,24072,595196,455,39432,113429870,19676,0,320,69321
1522213425.3,16049.8,62593,13,22670,595378,455,39455,113431058,19676,0,320,69420
1522213426.3,16066.5,60670,17,22619,595578,455,39480,113432265,19676,0,320,69499
1522213427.4,16060.4,57807,24,21967,595779,455,39506,113433482,19676,0,320,69565
1522213428.4,16011.5,59712,15,22126,595973,455,39528,113434694,19676,0,320,69649
1522213429.4,16020.0,29794,21,12380,596107,455,39583,113436047,19676,0,320,69685
1522213430.5,16030.0,118,1,218,596120,455,39675,113437583,19676,0,320,69685
1522213431.6,16342.5,3627,695,128373,596531,455,39717,113438914,19676,0,320,69701
1522213433.1,16001.1,224,0,10,598225,455,39746,113438914,19676,0,320,70190
1522213434.4,16042.3,107,2,203,599806,455,39752,113438914,19676,0,320,70379
1522213435.5,16187.9,91,1,233,601170,455,39753,113438914,19676,0,320,70510
1522213436.8,16335.8,139,1,257,602635,455,39762,113438914,19676,0,320,70698
1522213438.1,16060.0,367,1,180,604074,455,39775,113438914,19676,0,321,70916
1522213439.3,15922.6,341,0,10,605255,455,39783,113438914,19676,0,321,71180
1522213440.6,16180.5,162,1,270,606509,455,39795,113438914,19676,0,321,71434
1522213441.8,16053.3,377,6,22,607685,455,39806,113438914,19685,0,321,71711
1522213442.9,16200.2,198,1,203,608835,455,39811,113438914,19685,0,321,71959
1522213444.2,16192.3,422,1,239,609967,455,39822,113438914,19685,0,321,72315
1522213445.7,16038.2,136,7,23,611267,455,39846,113438988,19685,0,321,72667
1522213447.0,16257.2,147,10,22,612551,455,39859,113439033,19685,0,321,72879
1522213448.5,16231.5,129,0,28,613973,455,39877,113439033,19685,0,321,73168
1522213449.8,16234.4,111,0,28,615221,455,39884,113439033,19685,0,321,73431
1522213451.1,16047.9,102,0,22,616572,455,39892,113439033,19685,0,321,73589
1522213452.5,16421.5,129,2,22,617938,455,39904,113439036,19685,0,321,73868
1522213453.8,16218.4,109,0,76,619343,455,39915,113439036,19685,0,322,74059
1522213455.4,16629.9,96,0,22,620780,455,39941,113439039,19685,0,322,74577
1522213457.0,16164.5,96,0,22,622504,455,39965,113439039,19685,0,322,75032
1522213458.3,16049.8,108,0,70,623866,455,39967,113439039,19685,0,322,75371
1522213460.2,15609.4,99,0,28,625689,455,40011,113439039,19685,0,322,75839
1522213461.9,16535.1,97,2,16,627386,455,40050,113439039,19685,0,323,76239
1522213463.2,16039.9,101,0,64,628594,455,40057,113439039,19685,0,323,76481
1522213464.5,16413.5,140,0,34,629924,455,40064,113439043,19685,0,323,76863
1522213465.7,15918.3,93,0,10,631203,455,40067,113439043,19685,0,324,77103
1522213467.5,16001.0,82,0,10,632753,455,40150,113439046,19685,0,324,77580
1522213468.7,16083.4,37136,5,10,633603,455,40274,113439549,19685,0,324,78157
1522213469.8,16014.8,388155,155,28185,633943,455,40412,113440388,19685,0,324,78497
1522213470.8,16016.8,2583,472,91030,633960,455,40501,113441924,19685,0,324,78498
1522213471.9,16031.1,17868,484,17057,634089,455,40586,113443338,19685,0,324,78504
1522213472.9,16014.9,40512,1355,18563,634202,455,40685,113444631,19685,0,324,78609
1522213474.0,16123.7,49107,866,20590,634288,455,40774,113445964,19685,0,324,78696
1522213475.0,16071.0,79329,126,53472,634318,455,40922,113447345,19685,0,324,78781
1522213476.1,16056.6,33107,188,44516,634378,455,41154,113448586,19685,0,324,78892
1522213477.1,16053.9,27515,121,35925,634602,455,41307,113449728,19685,0,324,78986
1522213478.2,16165.3,6575,5,15426,635424,455,41349,113450569,19685,0,324,79005
1522213479.3,16033.2,10529,38,33938,636215,455,41389,113451400,19685,0,324,79033
1522213480.4,16015.9,1696,6,16,636788,455,41484,113452352,19716,0,324,79041
1522213481.5,16132.4,3682,710,129977,637009,455,41541,113453790,19731,0,324,79056
1522213482.7,16087.2,115,0,150,637935,455,41556,113454719,19731,0,324,79085
1522213483.9,16190.6,119,2,28,638887,455,41576,113455664,19731,0,324,79113
1522213485.0,16040.6,134,3,226,639793,455,41590,113456569,19731,0,324,79132
